"logFC"	"logCPM"	"PValue"	"FDR"
"TRINITY_DN63253_c0_g1_i1"	-5.03729413072886	6.34378653427253	0.0133121619412437	1
"TRINITY_DN61429_c0_g1_i1"	-5.03729290678529	6.34378653427253	0.01332482155035	1
"TRINITY_DN163392_c0_g1_i1"	-5.03728959204982	6.34378653427253	0.0133592025293436	1
"TRINITY_DN170002_c0_g1_i1"	-5.03728936797437	6.34378653427253	0.0133615317334189	1
"TRINITY_DN154316_c0_g1_i1"	-5.03728822117255	6.34378653427253	0.0133734624813759	1
"TRINITY_DN11777_c0_g1_i2"	-5.03901116925955	6.34504681170804	0.0136920550642369	1
"TRINITY_DN30873_c0_g1_i1"	-5.03901775847558	6.34504681170804	0.0137585585251431	1
"TRINITY_DN53760_c0_g1_i1"	-5.03902867189296	6.34504681170804	0.0138698323172625	1
"TRINITY_DN53885_c0_g1_i1"	-5.03902927629516	6.34504681170804	0.0138760362980213	1
"TRINITY_DN121333_c0_g1_i1"	5.05071442597901	6.34693767785712	0.0139953956455032	1
"TRINITY_DN12015_c0_g1_i7"	5.05071442597901	6.34693767785712	0.0139963804676795	1
"TRINITY_DN82931_c0_g1_i1"	5.05071442597901	6.34693767785712	0.0140374649018566	1
"TRINITY_DN1830_c2_g1_i1"	5.05071442597901	6.34693767785712	0.0140612187728804	1
"TRINITY_DN1950_c0_g3_i1"	5.05071442597901	6.34693767785712	0.0140649313728279	1
"TRINITY_DN24617_c0_g2_i2"	5.05071442597901	6.34693767785712	0.0140814011776289	1
"TRINITY_DN28081_c0_g1_i1"	5.05071442597901	6.34693767785712	0.0140877570056019	1
"TRINITY_DN33895_c0_g1_i1"	5.05071442597901	6.34693767785712	0.014121574079251	1
"TRINITY_DN90_c1_g2_i1"	-5.20662279737192	6.43329536081904	0.0145654566326089	1
"TRINITY_DN101029_c0_g1_i1"	-2.43250815273589	6.80319398693534	0.014639849984943	1
"TRINITY_DN10104_c0_g1_i1"	-2.21769653467194	7.04435795566446	0.0152257535498666	1
"TRINITY_DN14019_c0_g1_i3"	-5.20673034247914	6.43329536081904	0.0154337468026367	1
"TRINITY_DN31179_c0_g3_i2"	-3.02409702921275	6.5922882436382	0.0162071073678967	1
"TRINITY_DN35124_c0_g1_i1"	-3.02409704781624	6.5922882436382	0.0162127768174614	1
"TRINITY_DN3808_c0_g2_i2"	-3.02409705828291	6.5922882436382	0.0162159678874713	1
"TRINITY_DN7469_c0_g2_i1"	-3.0240971308631	6.5922882436382	0.0162381224682685	1
